Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Gang Of Ghosts,Normal,No,No,comedy,No,No,No,Sharman Joshi,Satish Kaushik,Dharam - Sandeep,900,160000000,27930000,0.1745625,2014,128,3.6,376
Lakeer Ka Fakeer,Normal,No,No,drama,No,Yes,Yes,Ajaz Khan,Zubair Khan,Dilshad,60,12500000,2175000,0.174,2013,113,5.4,129
Via Darjeeling,Normal,No,No,thriller,No,Yes,Yes,Sonali Kulkarni,Arindam Nandy,Prabuddha Banerjee,75,15000000,2600000,0.173333333,2008,104,5.4,159
Shakal Pe Mat Ja,Normal,No,No,comedy,No,Yes,No,Shubh,Shubh,Salim - Sulaiman,275,40000000,6900000,0.1725,2011,140,4.9,39
Mehbooba,Normal,No,No,love_story,No,No,No,Sanjay Dutt,Afzal Khan,Ismail Darbar,425,220000000,37850000,0.172045455,2008,163,3.5,351
Ek Se Bure Do,Holiday,No,No,comedy,No,Yes,No,Arshad Warsi,Tarique Khan,Ravi Pawar,100,60000000,10300000,0.171666667,2009,180,4.3,62
Sadda Adda,Holiday,No,No,drama,Yes,Yes,No,Karanvir Sharma,Muazzam Beg,Shamir Tandon,175,27500000,4700000,0.170909091,2012,130,7.1,1345
Charlie Kay Chakkar Mein,Normal,No,No,thriller,No,No,No,Naseeruddin Shah,Manish Shrivastava,Manish Tipu,550,60000000,10200000,0.17,2015,102,4.5,159
Jeena Hai Toh Thok Daal,Normal,No,No,drama,No,Yes,Yes,Ravi Kissen,Manish Vatsalya,Siddhant Madhav,325,40000000,6800000,0.17,2012,123,5.5,31
Purani Jeans,Normal,No,No,drama,No,Yes,No,Tanuj Virwani,Tanushri Chattrji Bassu,Ram Sampath,625,110000000,18600000,0.169090909,2014,137,6.3,762
Revati,Holiday,No,No,drama,No,No,No,Kashmira Shah,Faroogh Siddiqui,Jatin - Lalit,10,9000000,1500000,0.166666667,2005,145,5.1,34
"Oh, My God!!",Normal,No,No,comedy,No,Yes,No,Vinay Pathak,Sourabh Shrivastava,Bappi - Tutal,150,35000000,5800000,0.165714286,2008,105,5.4,264
Sikandar,Holiday,No,No,thriller,Yes,No,No,Parzan Dastur,Piyush Jha,Sandesh Shandilya,250,50000000,8240000,0.1648,2009,110,6.4,262
